央视频道,#genre#
CCTV1,http://219.150.217.47:6610/PLTV1/940/index.m3u8?#http://219.150.217.47:6610/PLTV1/40/index.m3u8?
CCTV2,http://219.150.217.47:6610/PLTV1/60/index.m3u8?
CCTV3,http://219.150.217.47:6610/PLTV1/80/index.m3u8?
CCTV4,http://219.150.217.47:6610/PLTV1/100/index.m3u8?
CCTV5,http://219.150.217.47:6610/PLTV1/120/index.m3u8?
CCTV5+,http://219.150.217.47:6610/PLTV1/380/index.m3u8?
CCTV6,http://219.150.217.47:6610/PLTV1/140/index.m3u8?
CCTV7,http://219.150.217.47:6610/PLTV1/160/index.m3u8?
CCTV8,http://219.150.217.47:6610/PLTV1/180/index.m3u8?
CCTV9,http://219.150.217.47:6610/PLTV1/200/index.m3u8?
CCTV10,http://219.150.217.47:6610/PLTV1/220/index.m3u8?
CCTV11,http://219.150.217.47:6610/PLTV1/240/index.m3u8?
CCTV12,http://219.150.217.47:6610/PLTV1/260/index.m3u8?
CCTV13,http://219.150.217.47:6610/PLTV1/280/index.m3u8?
CCTV14,http://219.150.217.47:6610/PLTV1/300/index.m3u8?
CCTV15,http://219.150.217.47:6610/PLTV1/320/index.m3u8?
CCTV17,http://219.150.217.47:6610/PLTV1/360/index.m3u8?
CETV1,http://219.150.217.47:6610/PLTV1/400/index.m3u8?
CGTN,http://219.150.217.47:6610/PLTV1/340/index.m3u8?

卫视频道,#genre#
河南卫视,http://219.150.217.47:6610/PLTV1/580/index.m3u8?
浙江卫视,http://219.150.217.47:6610/PLTV1/960/index.m3u8?
东方卫视,http://219.150.217.47:6610/PLTV1/980/index.m3u8?
江苏卫视,http://219.150.217.47:6610/PLTV1/1000/index.m3u8?
北京卫视,http://219.150.217.47:6610/PLTV1/1020/index.m3u8?
广东卫视,http://219.150.217.47:6610/PLTV1/1040/index.m3u8?
黑龙江卫视,http://219.150.217.47:6610/PLTV1/1060/index.m3u8?
山东卫视,http://219.150.217.47:6610/PLTV1/1080/index.m3u8?
安徽卫视,http://219.150.217.47:6610/PLTV1/1100/index.m3u8?
辽宁卫视,http://219.150.217.47:6610/PLTV1/1120/index.m3u8?
陕西卫视,http://219.150.217.47:6610/PLTV1/1140/index.m3u8?
贵州卫视,http://219.150.217.47:6610/PLTV1/1160/index.m3u8?
河北卫视,http://219.150.217.47:6610/PLTV1/1180/index.m3u8?
江西卫视,http://219.150.217.47:6610/PLTV1/1200/index.m3u8?
湖南卫视,http://219.150.217.47:6610/PLTV1/1220/index.m3u8?
深圳卫视,http://219.150.217.47:6610/PLTV1/1240/index.m3u8?
四川卫视,http://219.150.217.47:6610/PLTV1/1260/index.m3u8?
湖北卫视,http://219.150.217.47:6610/PLTV1/1280/index.m3u8?
天津卫视,http://219.150.217.47:6610/PLTV1/1300/index.m3u8?
云南卫视,http://219.150.217.47:6610/PLTV1/1320/index.m3u8?
重庆卫视,http://219.150.217.47:6610/PLTV1/1340/index.m3u8?
吉林卫视,http://219.150.217.47:6610/PLTV1/1360/index.m3u8?
宁夏卫视,http://219.150.217.47:6610/PLTV1/1380/index.m3u8?
东南卫视,http://219.150.217.47:6610/PLTV1/1400/index.m3u8?
内蒙古卫视,http://219.150.217.47:6610/PLTV1/1420/index.m3u8?
广西卫视,http://219.150.217.47:6610/PLTV1/1440/index.m3u8?
山西卫视,http://219.150.217.47:6610/PLTV1/1460/index.m3u8?
海南卫视,http://219.150.217.47:6610/PLTV1/1480/index.m3u8?
甘肃卫视,http://219.150.217.47:6610/PLTV1/1500/index.m3u8?
青海卫视,http://219.150.217.47:6610/PLTV1/1520/index.m3u8?
新疆卫视,http://219.150.217.47:6610/PLTV1/1620/index.m3u8?
西藏卫视,http://219.150.217.47:6610/PLTV1/1640/index.m3u8?

少儿频道,#genre#
金鹰卡通,http://219.150.217.47:6610/PLTV1/1540/index.m3u8?
嘉佳卡通,http://219.150.217.47:6610/PLTV1/1560/index.m3u8?
卡酷少儿,http://219.150.217.47:6610/PLTV1/1580/index.m3u8?
