
央视频道,#genre#
CCTV1,http://123.13.244.159:4000/rtp/225.1.4.1:1030
CCTV1,http://123.13.244.159:4000/rtp/225.1.4.73:1102
CCTV2,http://123.13.244.159:4000/rtp/225.1.4.2:1031
CCTV2,http://123.13.244.159:4000/rtp/225.1.4.74:1103
CCTV3,http://123.13.244.159:4000/rtp/225.1.4.158:1194
CCTV4,http://123.13.244.159:4000/rtp/225.1.4.4:1033
CCTV4,http://123.13.244.159:4000/rtp/225.1.5.30:1333
CCTV5,http://123.13.244.159:4000/rtp/225.1.4.159:1195
CCTV5+,http://123.13.244.159:4000/rtp/225.1.4.75:1104
CCTV6,http://123.13.244.159:4000/rtp/225.1.4.160:1196
CCTV7,http://123.13.244.159:4000/rtp/225.1.4.76:1105
CCTV7,http://123.13.244.159:4000/rtp/225.1.4.7:1036
CCTV8,http://123.13.244.159:4000/rtp/225.1.4.161:1197
CCTV9,http://123.13.244.159:4000/rtp/225.1.4.77:1106
CCTV9,http://123.13.244.159:4000/rtp/225.1.4.9:1038
CCTV10,http://123.13.244.159:4000/rtp/225.1.4.10:1039
CCTV10,http://123.13.244.159:4000/rtp/225.1.4.78:1107
CCTV11,http://123.13.244.159:4000/rtp/225.1.4.11:1040
CCTV11,http://123.13.244.159:4000/rtp/225.1.4.215:1268
CCTV12,http://123.13.244.159:4000/rtp/225.1.4.12:1041
CCTV12,http://123.13.244.159:4000/rtp/225.1.4.79:1108
CCTV13,http://123.13.244.159:4000/rtp/225.1.4.113:1293
CCTV13,http://123.13.244.159:4000/rtp/225.1.4.13:1042
CCTV14,http://123.13.244.159:4000/rtp/225.1.4.14:1043
CCTV14,http://123.13.244.159:4000/rtp/225.1.4.80:1109
CCTV15,http://123.13.244.159:4000/rtp/225.1.4.15:1044
CCTV15,http://123.13.244.159:4000/rtp/225.1.4.216:1269
CCTV16,http://123.13.244.159:4000/rtp/225.1.5.46:1356
CCTV17,http://123.13.244.159:4000/rtp/225.1.4.226:2506
CCTV17,http://123.13.244.159:4000/rtp/225.1.4.227:2507
卫视频道,#genre#
河南卫视4K,http://123.13.244.159:4000/rtp/225.1.4.254:1300
三沙卫视,http://123.13.244.159:4000/rtp/225.1.4.234:1280
东南卫视,http://123.13.244.159:4000/rtp/225.1.4.228:1274
东南卫视,http://123.13.244.159:4000/rtp/225.1.4.32:1061
东方卫视,http://123.13.244.159:4000/rtp/225.1.4.22:1051
东方卫视,http://123.13.244.159:4000/rtp/225.1.4.85:1114
云南卫视,http://123.13.244.159:4000/rtp/225.1.4.152:1307
云南卫视,http://123.13.244.159:4000/rtp/225.1.4.33:1062
兵团卫视,http://123.13.244.159:4000/rtp/225.1.4.97:1126
内蒙古卫视,http://123.13.244.159:4000/rtp/225.1.4.45:1074
北京卫视,http://123.13.244.159:4000/rtp/225.1.4.21:1050
北京卫视,http://123.13.244.159:4000/rtp/225.1.4.81:1110
厦门卫视,http://123.13.244.159:4000/rtp/225.1.4.95:1124
吉林卫视,http://123.13.244.159:4000/rtp/225.1.4.174:1309
吉林卫视,http://123.13.244.159:4000/rtp/225.1.4.36:1065
四川卫视,http://123.13.244.159:4000/rtp/225.1.4.151:1306
四川卫视,http://123.13.244.159:4000/rtp/225.1.4.40:1069
天津卫视,http://123.13.244.159:4000/rtp/225.1.4.24:1053
天津卫视,http://123.13.244.159:4000/rtp/225.1.4.86:1115
宁夏卫视,http://123.13.244.159:4000/rtp/225.1.4.43:1072
安徽卫视,http://123.13.244.159:4000/rtp/225.1.4.20:1049
安徽卫视,http://123.13.244.159:4000/rtp/225.1.4.87:1116
山东卫视,http://123.13.244.159:4000/rtp/225.1.4.27:1056
山东卫视,http://123.13.244.159:4000/rtp/225.1.4.88:1117
山西卫视,http://123.13.244.159:4000/rtp/225.1.4.38:1067
广东卫视,http://123.13.244.159:4000/rtp/225.1.4.166:1207
广东卫视,http://123.13.244.159:4000/rtp/225.1.4.30:1059
广西卫视,http://123.13.244.159:4000/rtp/225.1.4.31:1060
