央视频道,#genre#
CCTV1,http://219.150.217.47:6610/PLTV1/40/index.m3u8?icpid=dxrm1
CCTV2,http://219.150.217.47:6610/PLTV1/60/index.m3u8?icpid=dxrm1
CCTV3,http://219.150.217.47:6610/PLTV1/80/index.m3u8?icpid=dxrm1
CCTV4,http://219.150.217.47:6610/PLTV1/100/index.m3u8?icpid=dxrm1
CCTV5,http://219.150.217.47:6610/PLTV1/120/index.m3u8?icpid=dxrm1
CCTV5+,http://219.150.217.47:6610/PLTV1/380/index.m3u8?icpid=dxrm1
CCTV6,http://219.150.217.47:6610/PLTV1/140/index.m3u8?icpid=dxrm1
CCTV7,http://219.150.217.47:6610/PLTV1/160/index.m3u8?icpid=dxrm1
CCTV8,http://219.150.217.47:6610/PLTV1/180/index.m3u8?icpid=dxrm1
CCTV9,http://219.150.217.47:6610/PLTV1/200/index.m3u8?icpid=dxrm1
CCTV10,http://219.150.217.47:6610/PLTV1/220/index.m3u8?icpid=dxrm1
CCTV11,http://219.150.217.47:6610/PLTV1/240/index.m3u8?icpid=dxrm1
CCTV12,http://219.150.217.47:6610/PLTV1/260/index.m3u8?icpid=dxrm1
CCTV13,http://219.150.217.47:6610/PLTV1/280/index.m3u8?icpid=dxrm1
CCTV14,http://219.150.217.47:6610/PLTV1/300/index.m3u8?icpid=dxrm1
CCTV15,http://219.150.217.47:6610/PLTV1/320/index.m3u8?icpid=dxrm1
CCTV16,http://www.hkyc.site:1991/udp/239.253.64.251:5140
CCTV17,http://219.150.217.47:6610/PLTV1/360/index.m3u8?icpid=dxrm1
CCTV1,http://kent.dzzkent.top:4022/udp/234.1.3.171:5000
CCTV2,http://kent.dzzkent.top:4022/udp/234.1.3.173:5000
CCTV3,http://kent.dzzkent.top:4022/udp/234.1.2.204:5001
CCTV4,http://kent.dzzkent.top:4022/udp/234.1.3.161:5000
CCTV4欧洲,http://kent.dzzkent.top:4022/udp/234.1.2.159:5000
CCTV4美洲,http://kent.dzzkent.top:4022/udp/234.1.2.158:5000
CCTV5,http://kent.dzzkent.top:4022/udp/234.1.2.205:5001
CCTV5+,http://kent.dzzkent.top:4022/udp/234.1.3.172:5000
CCTV6,http://kent.dzzkent.top:4022/udp/234.1.2.206:5001
CCTV7,http://kent.dzzkent.top:4022/udp/234.1.3.174:5000
CCTV8,http://kent.dzzkent.top:4022/udp/234.1.2.207:5001
CCTV9,http://kent.dzzkent.top:4022/udp/234.1.3.175:5000
CCTV10,http://kent.dzzkent.top:4022/udp/234.1.3.176:5000
CCTV11,http://kent.dzzkent.top:4022/udp/234.1.3.237:5000
CCTV12,http://kent.dzzkent.top:4022/udp/234.1.3.177:5000
CCTV13,http://kent.dzzkent.top:4022/udp/234.1.3.71:5000
CCTV14,http://kent.dzzkent.top:4022/udp/234.1.3.178:5000
