
央视频道,#genre#
CCTV1,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.173/PLTV/88888888/224/3221226119/1.m3u8
CCTV2,http://39.134.65.173/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.65.173/PLTV/88888888/224/3221225671/1.m3u8
CCTV3,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.65.173/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV7,http://39.134.65.173/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.65.173/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.173/PLTV/88888888/224/3221226125/1.m3u8
CCTV14,http://39.134.65.173/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://39.134.65.173/PLTV/88888888/224/3221226132/1.m3u8
CCTV15,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://39.134.65.173/PLTV/88888888/224/3221226127/1.m3u8
CCTV16,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8

CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8

CCTV1,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV1,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV3,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
CCTV3,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV6,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV8,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV13,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV15,http://39.135.133.172:80/wh7f454c46tw711876263_1963728898/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8

CCTV1,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV2,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV4,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV11,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV11,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV13,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV15,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://39.135.133.177:80/wh7f454c46tw3228192238_-1318233818/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8


CCTV1,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV2,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV2,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV3,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV4,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV4,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV5,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV5,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV6,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV7,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV8,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV10,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV11,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV12,http://39.135.133.170:80/wh7f454c46tw3506027056_1151480940/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8?icpid=88888888&RTS=1732327025&from=23&hms_devid=1254&online=1732327025&vqe=3
CCTV13,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV13,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3
CCTV13,http://39.135.133.158:80/wh7f454c46tw2144956852_-507401094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8?icpid=88888888&RTS=1732325664&from=23&hms_devid=1251&online=1732325664&vqe=3

卫视频道,#genre#
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225927/1.m3u8
东方卫视,http://39.134.65.173/PLTV/88888888/224/3221225672/1.m3u8
广东卫视,http://39.134.65.173/PLTV/88888888/224/3221225966/1.m3u8
贵州卫视,http://39.134.65.173/PLTV/88888888/224/3221225974/1.m3u8
海南卫视,http://39.134.65.173/PLTV/88888888/224/3221225978/1.m3u8
河北卫视,http://39.134.65.173/PLTV/88888888/224/3221225961/1.m3u8
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225985/1.m3u8
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226060/1.m3u8
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226122/1.m3u8
湖北卫视,http://39.134.65.173/PLTV/88888888/224/3221225975/1.m3u8
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225977/1.m3u8
